,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
3029,1704,6184,730,1729,334,46,94,884,42,19.5,579,497,0.0,18,96,0.0,121.0,1
3030,1536,5488,809,1522,333,42,197,794,75,22.0,527,1101,36.0,49,4,34.0,183.0,1
3031,4,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3032,2,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3033,456,661,37,76,8,4,7,33,0,0.0,9,304,0.0,1,43,2.0,5.0,1
3034,7,5,1,0,0,0,0,0,0,0.0,1,1,0.0,0,2,0.0,0.0,0
3035,293,512,26,53,1,0,0,18,0,0.0,14,166,0.0,1,85,2.0,6.0,1
3036,29,88,10,22,2,0,0,4,5,2.5,10,4,0.0,2,5,0.0,0.0,1
3037,75,146,16,34,4,1,2,10,1,0.0,6,24,1.0,1,0,0.0,1.0,1
3038,13,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3039,310,707,82,175,34,4,18,90,12,5.0,40,194,8.0,9,5,4.0,20.0,1
3040,370,1217,148,324,59,18,14,131,27,10.0,106,126,0.0,3,21,0.0,32.0,0
3041,13,3,0,0,0,0,0,0,0,0.0,0,3,0.0,0,1,0.0,0.0,1
3042,472,1527,195,372,39,6,2,99,19,12.5,166,87,0.0,5,29,0.0,37.0,1
3043,19,23,0,3,0,0,0,1,0,0.0,0,11,0.0,0,0,0.0,0.0,0
3044,4,3,0,0,0,0,0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,0
3045,173,490,49,122,29,12,11,67,1,4.5,40,128,0.0,2,6,0.0,0.0,1
3046,1181,3879,627,1072,209,32,110,599,26,21.0,853,399,0.0,11,44,0.0,61.0,1
3047,700,1761,155,387,57,9,9,134,10,9.0,147,219,19.0,9,32,11.0,47.0,0
3048,7,19,0,2,0,0,0,1,0,1.0,0,4,0.0,0,0,1.0,1.0,0
3049,15,26,5,5,1,0,0,2,0,0.0,3,3,0.0,0,1,0.0,1.0,1
3050,322,602,40,74,8,2,1,34,0,1.0,26,292,0.0,1,67,0.0,8.0,1
3051,342,161,8,20,2,1,0,11,1,0.0,4,63,0.0,0,20,2.0,3.0,1
3052,110,91,1,9,0,0,0,7,0,0.0,1,43,0.0,0,5,0.0,2.0,1
3053,110,3,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
3054,89,132,15,45,11,1,4,28,0,0.0,12,18,0.0,1,6,0.0,0.0,1
3055,460,1113,136,286,60,8,22,124,9,6.0,94,200,4.0,9,5,7.0,14.0,1
3056,11,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
3057,23,26,1,2,0,0,0,1,0,0.0,2,11,0.0,0,4,0.0,0.0,1
3058,222,452,47,99,31,3,7,51,4,6.0,34,110,3.0,6,5,4.0,9.0,1
3059,54,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
3060,318,945,113,270,39,12,9,112,17,13.0,52,48,0.0,5,21,0.0,0.0,1
3061,108,109,8,15,4,0,0,5,0,0.0,12,32,0.0,0,2,0.0,0.0,1
3062,27,23,4,5,0,0,0,5,0,0.0,9,8,0.0,0,0,0.0,0.0,0
