retroID,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
leesg101,0,0,32,7,2,1,1,0,0,0,0
lefej001,0,33,10,0,0,1,0,0,5,0,0
legel101,0,0,98,23,8,1,4,0,0,0,0
lembs101,0,0,25,3,0,1,0,0,0,0,0
leons001,281,7598,2591,156,11,18,33,0,96,57,0
leovj101,0,0,0,0,0,0,1,0,0,0,0
leppd101,150,3829,795,68,13,9,24,33,63,19,2
leriw101,0,0,510,130,12,25,3,0,0,0,0
lerus001,4,114,28,0,0,0,0,0,2,0,0
levij001,151,4440,1065,70,6,12,13,0,117,41,0
lewib101,0,0,93,13,2,1,3,0,0,0,0
leyrj001,265,7044,1789,137,10,11,41,0,200,84,0
lickj101,0,3,1,0,0,0,0,0,0,0,0
liddd001,0,3,1,0,0,0,0,0,0,0,0
liebm001,1109,29486,7829,490,72,64,74,0,592,248,0
lindb001,5,159,28,4,0,1,0,0,2,4,0
lindc102,0,15,2,0,0,0,1,0,0,0,0
lindd001,1,51,14,0,0,0,1,0,0,0,0
lindw101,0,0,5,0,0,0,0,0,0,0,0
lintb101,0,0,6,3,0,0,0,0,0,0,0
lipsb101,0,6,3,0,0,0,0,0,0,0,0
lis-j101,0,12,0,0,0,0,0,0,0,0,0
littd101,70,1857,417,51,7,8,7,0,73,34,0
littg001,0,15,5,0,0,0,0,0,1,0,0
livim101,0,0,1728,209,32,26,25,0,0,0,0
lobaj001,325,8947,2841,183,21,21,16,0,227,61,0
lodup001,887,23460,6311,491,66,61,51,0,610,267,0
lolls101,926,24693,7059,688,62,101,53,143,223,202,17
lomas001,0,15,7,2,0,0,0,0,0,2,0
lombe101,0,0,5694,845,143,107,152,0,0,0,0
lombp001,12,399,109,8,3,1,1,0,20,2,0
longd101,0,5,0,1,0,0,1,0,0,0,0
longj103,0,0,1,0,0,0,0,0,0,0,0
lonnj101,98,2751,578,29,5,7,7,23,35,16,1
lookb101,29,848,202,20,1,5,3,12,19,8,1
lopas101,416,11108,3406,232,53,50,46,66,149,60,3
lopea102,0,0,6644,1115,122,137,66,0,0,0,0
lopej001,1251,33226,8990,631,73,77,97,0,798,309,0
lopel001,6,177,34,2,0,0,2,0,5,3,0
loper002,49,1373,423,27,4,3,1,0,29,5,0
lovij102,0,0,0,0,0,0,0,0,0,0,0
lowrd001,63,1846,383,26,2,4,3,0,50,17,0
lucrj001,957,25484,7334,536,59,51,43,0,613,239,0
lucyd001,11,291,93,2,0,1,0,0,13,3,0
luebr101,0,0,26,4,0,1,1,0,0,0,0
lunaf001,67,1852,437,46,5,5,2,0,52,25,0
lundt101,18,555,126,8,1,2,2,0,22,4,0
lunst001,0,24,4,0,1,0,0,0,1,0,0
lutzr102,0,0,0,0,0,0,0,0,0,0,0
lydem001,1,34,4,0,0,0,0,0,1,0,0
lyncj102,2,63,10,2,0,0,0,0,1,1,0
lyncw101,0,0,1,1,0,0,0,0,0,0,0
lynnb101,0,0,114,25,2,5,2,0,0,0,0
