retroID,yearID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
gearb101,1919,0,3,9,2,1,0,0,97,32,17,1,18,9,0.26,4.73,0,0,0,1,139,5,22,0,0,0
gerne101,1919,1,0,5,1,0,0,0,51,22,6,0,3,2,0.33,3.18,0,0,2,0,74,4,10,0,0,0
gille101,1919,1,1,16,2,0,0,0,112,38,20,0,21,7,0.26,4.82,0,2,2,1,169,11,25,0,0,0
goodm102,1919,11,9,33,17,7,0,0,537,163,50,3,33,48,0.24,2.51,0,3,8,1,726,8,66,0,0,0
grevb101,1919,0,0,5,2,0,0,0,36,15,19,0,18,3,0.3,14.25,0,1,1,0,68,2,20,0,0,0
grimb101,1919,10,11,25,21,13,1,0,544,179,70,2,60,82,0.25,3.47,0,7,3,3,791,4,97,0,0,0
haidh101,1919,0,0,1,0,0,0,0,6,5,4,0,3,1,0.55,18,0,0,0,0,12,0,5,0,0,0
hamie101,1919,8,11,28,19,9,1,1,481,167,59,3,49,39,0.28,3.31,0,4,5,0,674,9,73,0,0,0
harph101,1919,6,21,35,31,8,0,0,624,220,86,3,97,87,0.28,3.72,0,9,8,2,879,4,119,0,0,0
hastb101,1919,0,2,2,2,1,0,0,36,15,7,1,4,5,0.3,5.25,0,1,0,0,53,0,10,0,0,0
hendc101,1919,10,14,33,25,15,2,0,619,208,60,3,42,69,0.26,2.62,0,4,9,0,859,4,79,0,0,0
henil101,1919,0,0,1,0,0,0,0,9,2,2,0,2,2,0.2,6,0,0,0,0,12,1,2,0,0,0
hillc102,1919,0,0,4,0,0,0,0,15,12,5,0,1,1,0.48,9,0,1,0,0,27,3,6,0,0,0
hoggb102,1919,5,12,22,19,13,0,0,451,163,74,7,55,48,0.29,4.43,0,4,5,1,645,2,85,0,0,0
horso101,1919,0,1,6,2,0,0,0,45,14,5,0,12,5,0.26,3,0,1,0,0,67,1,6,0,0,0
