retroID,BAOpp,ERA,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
schub103,0.282,8.62,9,13,65,19,3,0,0,549,179,105,17,125,67,0,7,7,0,845,23,117,0,0,0
schub104,0.29,4.602,15,9,168,3,0,0,12,720,232,98,21,88,193,13,6,0,1,1015,59,108,15,11,16
schuc001,0.273,2.7,0,0,3,0,0,0,0,10,3,1,0,2,5,1,0,0,0,13,1,1,0,0,1
schud001,0.3414,6.3475,15,25,76,59,4,0,0,1016,422,206,40,105,144,2,16,12,2,1521,6,231,12,14,28
schud002,0.336,7.0333,0,1,18,0,0,0,0,75,34,15,8,5,17,1,1,0,0,110,10,15,1,3,2
schue001,0.296,4.83,0,0,46,0,0,0,1,180,79,40,8,27,34,1,5,2,0,282,21,43,3,1,5
schuf102,0.2667,4.6083,30,28,104,73,28,1,4,1574,529,245,20,289,259,0,15,16,1,2342,18,294,0,0,0
schuh103,0.2608,3.9631,158,121,391,329,138,27,7,7447,2424,926,139,902,906,0,54,24,0,10571,38,1080,0,0,0
schuj002,0.2455,6.42,2,2,26,1,0,0,0,106,24,23,7,20,38,0,1,3,0,147,10,23,0,2,4
schum001,0.333,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,3,1,0,0,0,1
schum101,0.44,4.5,0,0,1,0,0,0,0,6,4,1,0,2,0,0,0,0,0,11,0,2,0,0,0
schup001,0.4105,27.9,0,1,11,0,0,0,0,26,15,18,1,10,8,0,2,2,0,54,3,19,1,1,0
schur101,0.2528,4.4288,40,48,291,86,13,2,11,2737,861,414,96,393,563,46,40,24,6,3901,76,463,44,35,66
schus001,0.1943,6,0,0,4,0,0,0,0,12,4,2,1,5,3,0,0,0,0,21,4,2,0,0,0
schuw102,0.29,3.72,0,0,26,0,0,0,0,145,57,20,3,11,29,1,1,0,0,205,6,22,0,0,0
