retroID,GS,InnOuts,PO,A,E,DP
andrj001,18,464,37,0,0,0
andrj101,0,55,1,1,0,0
andrj102,3,135,2,6,0,0
andrk101,0,12,1,1,0,0
andrm001,49,1074,26,23,2,2
andrm101,805,21107,2147,1978,113,464
andrn101,0,0,34,179,5,7
andrr101,369,10117,866,1156,59,243
andrs001,465,12466,587,991,76,102
andrs002,0,14,0,1,0,0
anduj001,305,6459,142,437,54,28
andul001,20,370,3,11,0,0
andum001,132,3535,94,179,15,6
angen101,0,59,2,1,0,0
anglm001,20,596,62,0,2,0
ankep101,0,0,15,26,3,3
ankir001,488,13071,1119,52,31,7
annad001,7,201,5,19,1,1
anthe001,517,13082,976,45,22,14
antob101,0,0,27,0,1,0
antod001,0,6,0,0,0,0
antoj101,0,0,209,261,20,34
antoj103,226,4978,72,342,21,24
antom001,15,412,38,34,2,7
aokin001,658,17205,1190,38,10,6
aparl101,2539,67221,4548,8016,366,1553
apodb101,11,1084,28,69,4,5
aponl001,0,660,23,37,0,4
appik001,402,7786,202,225,12,25
appll101,0,0,4674,7543,672,1475
applp101,0,0,58,266,12,25
aquia001,0,9,0,0,0,0
aquig001,0,463,14,23,0,2
aquij001,2,47,0,0,1,0
aquil001,69,2035,54,117,5,19
aranv001,0,210,1,7,0,0
araue001,0,186,2,9,0,2
araup001,0,84,6,3,0,0
archc001,187,3346,52,91,13,7
archf101,0,0,1,7,0,1
archg101,0,0,375,180,19,42
archj101,28,699,8,39,3,2
archm101,0,0,219,9,12,2
arcif001,1,33,6,1,0,3
arcij101,158,4441,380,460,32,94
arcio001,247,6413,500,16,10,2
arcio002,282,7672,505,818,40,191
arded101,1,27,13,0,0,1
ardir101,0,0,0,1,0,0
arenj001,21,541,144,13,2,17
arenn001,862,22464,571,1975,79,222
arfth101,0,0,2182,184,18,251
ariaa001,399,11343,645,1022,47,184
ariaa002,2,224,7,11,4,3
ariag001,134,3548,98,321,21,26
ariaj001,232,6856,477,583,27,132
ariar101,0,132,3,10,0,0
arleb101,0,0,303,21,13,11
arlid101,1,30,0,1,0,0
arlis101,123,2368,55,96,9,8
armam001,7,228,77,4,0,4
armat001,1239,32666,3095,79,61,19
armat002,168,2777,59,115,5,10
armbe101,44,1362,91,8,8,2
armbo101,0,0,1,6,0,0
armsj001,130,2360,62,111,8,5
armsm001,1,1014,28,28,4,3
armss001,0,174,2,7,0,0
arndl001,2,48,8,2,0,3
arnoc101,66,1865,124,189,10,33
arnoj001,7,325,5,22,2,5
arnom101,0,0,1260,52,25,5
arnos001,0,20,0,1,0,0
arnot001,0,235,9,26,0,2
arnsb001,4,475,13,27,1,4
arnto101,0,0,7,19,3,4
aro-j001,0,33,1,0,0,0
arocr001,35,993,15,52,4,3
arrej001,0,660,24,14,1,1
arrig101,80,1859,15,92,4,3
arrij001,222,4001,118,214,24,21
arrob001,383,7307,221,325,16,22
arroc001,47,1247,46,98,4,17
arrof001,60,1607,41,118,3,8
arrol101,36,1594,14,69,7,0
arror001,105,2100,71,110,10,18
arror101,0,36,0,1,0,0
