retroID,GS,InnOuts,PO,A,E,DP,PB,WP,SB_A,CS_A,ZR,weight,height,debutYear,finalYear,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
neemc101,288,7665,1714,150,22,28,29,65,134,76,8,0.47541,0.5,1957,1963,0,1,0,1,376,1002,1100,93,224,155,35,4,30,97,1,0,79,221,12,8,6,5,23,1
nelsj101,35,867,202,16,5,2,10,0,30,16,0,0.42623,0.4,1983,1983,0,1,0,1,40,96,111,9,21,17,3,0,1,5,4,2,13,12,1,0,1,1,2,0
nevip001,88,2361,583,48,6,3,25,0,71,27,0,0.42623,0.55,1995,2006,0,1,0,1,1217,4188,4703,584,1131,708,209,6,208,743,18,5,449,1019,30,30,3,33,112,1
newmj001,396,10846,2011,222,44,26,20,0,246,160,0,0.569672,0.55,1976,1984,0,1,0,1,735,2123,2290,189,475,323,85,4,63,233,7,12,116,369,16,6,26,19,52,0
niarg101,4,123,1133,115,15,21,15,0,2,0,0,0.344262,0.45,1946,1955,0,1,0,1,315,691,858,114,174,142,26,5,1,59,6,7,153,56,0,4,10,0,16,1
nichb001,26,744,202,12,0,4,2,0,13,2,0,0.590164,0.55,2016,2017,1,0,0,1,37,103,110,12,26,13,9,0,4,15,0,0,6,22,0,1,0,0,4,0
nichc001,46,1269,282,39,5,8,8,0,34,24,0,0.442623,0.45,1986,1991,0,1,0,1,96,186,211,16,38,30,8,0,0,18,0,0,18,49,3,1,3,3,4,1
nickm001,53,1417,412,27,3,3,12,0,30,10,0,0.54918,0.45,2010,2013,0,1,0,1,74,172,191,12,31,25,4,0,2,19,0,1,12,43,0,2,4,1,3,1
nicos001,260,6989,1475,123,21,14,13,0,209,71,0,0.446721,0.35,1978,1985,0,1,0,1,358,938,1044,86,233,167,52,3,11,88,5,6,86,90,19,1,12,7,31,1
nidot001,26,710,236,8,4,1,1,0,21,5,0,0.54918,0.45,2017,2018,0,1,0,1,39,94,100,10,17,12,4,0,1,12,0,0,4,29,0,0,0,2,4,1
niebc101,0,0,87,26,4,1,5,0,0,0,0,0.344262,0.35,1921,1924,0,1,0,1,54,92,102,9,21,14,7,0,0,8,0,0,5,11,0,1,4,0,0,1
nieta001,32,899,201,14,1,0,6,0,25,4,0,0.528689,0.35,2014,2014,0,0,0,1,48,106,118,8,25,18,5,0,2,7,0,1,8,38,0,1,3,0,3,0
niett001,201,5255,1080,87,11,11,20,0,175,42,0,0.479508,0.5,1984,1990,0,1,0,1,251,619,697,37,127,94,24,4,5,69,0,3,55,135,11,10,11,2,20,1
nievw001,308,8359,2186,167,28,19,20,0,202,64,0,0.467213,0.4,2002,2015,0,1,0,1,427,1164,1260,88,281,215,54,2,10,114,3,2,61,228,11,6,16,13,39,1
nilsd001,287,7217,1515,107,19,10,13,0,242,71,0,0.446721,0.6,1992,1999,1,0,0,1,837,2779,3153,389,789,517,157,10,105,470,15,18,320,424,40,10,12,32,57,1
nixor101,611,16519,3708,238,47,31,66,160,262,107,6,0.487705,0.5,1957,1968,1,0,0,1,906,2504,2714,215,670,509,115,19,27,266,0,7,154,279,38,11,19,26,83,0
noblr101,0,0,300,22,7,3,9,0,0,0,0,0.54918,0.4,1951,1953,0,1,0,1,107,243,272,31,53,37,6,1,9,40,1,0,25,41,0,3,1,0,8,1
nokem001,598,15770,3422,262,38,34,48,0,492,193,0,0.446721,0.5,1985,1995,1,0,0,1,902,2735,2997,310,695,459,96,4,136,422,8,7,200,395,32,26,10,26,72,1
nolaj001,356,9420,1940,148,34,20,36,0,381,101,0,0.405738,0.4,1972,1985,1,0,0,1,621,1454,1649,156,382,279,66,10,27,178,7,8,164,183,22,7,5,19,32,1
nordw101,16,451,67,12,9,1,8,0,19,10,0,0.528689,0.55,1976,1983,0,1,0,1,502,1423,1500,147,401,277,77,8,39,205,1,5,54,162,6,3,2,18,48,1
norrd001,498,13523,4004,248,36,21,45,0,322,108,0,0.651639,0.45,2012,2017,0,1,0,1,610,1967,2195,242,453,288,98,4,63,247,26,6,195,541,10,19,2,12,42,1
nottj001,6,170,54,5,2,0,0,0,5,1,0,0.631148,0.55,2018,2018,0,1,0,1,9,20,24,2,4,3,1,0,0,0,0,0,4,8,0,0,0,0,0,1
novor101,0,0,82,9,4,0,3,0,0,0,0,0.454918,0.45,1949,1949,0,1,0,1,22,67,70,4,18,15,2,1,0,6,0,0,3,11,0,0,0,0,3,1
nunal101,0,0,286,58,15,4,5,0,0,0,0,0.467213,0.55,1911,1922,0,1,0,1,131,284,315,40,92,73,13,6,0,53,2,1,21,22,0,0,10,0,0,0
oatej101,423,11863,2416,277,36,33,43,0,251,153,0,0.459016,0.4,1970,1981,1,0,0,1,593,1637,1820,146,410,338,56,2,14,126,11,19,141,149,38,2,29,11,32,1
oberm001,124,3506,672,76,12,10,7,0,94,65,0,0.467213,0.55,1979,1985,0,1,0,1,197,376,433,38,72,58,10,1,3,27,1,0,43,77,0,1,10,3,8,1
obric001,675,17915,4441,396,47,57,21,0,453,265,0,0.487705,0.55,1985,2000,0,1,0,1,800,2232,2560,216,493,314,119,4,56,261,1,10,209,354,14,60,41,18,62,1
obrim101,0,0,13,7,2,0,1,0,0,0,0,0.344262,0.25,1923,1923,0,1,0,1,15,21,23,3,7,5,2,0,0,0,0,0,2,1,0,0,0,0,0,1
ock-w101,0,0,3,0,0,0,0,0,0,0,0,0.42623,0.4,1935,1935,0,1,0,1,1,3,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
oconj103,0,0,8,2,0,0,0,0,0,0,0,0.385246,0.45,1928,1929,0,1,0,1,3,8,9,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
odeak101,0,0,2450,336,48,44,40,0,0,0,0,0.42623,0.45,1935,1946,1,0,0,1,832,2195,2510,262,560,399,101,20,40,323,3,1.5,273,251,0,3,39,0,50,1
odonh101,0,0,16,3,0,1,1,0,0,0,0,0.405738,0.25,1927,1927,0,1,0,1,16,16,18,1,1,1,0,0,0,2,0,0,2,2,0,0,0,0,0,1
ofarb101,0,0,4170,942,125,97,50,0,0,0,0,0.42623,0.3,1915,1935,0,1,0,1,1434,3977,4605,507,1084,787,192,55,50,534,34,14,536,393,0,10,82,0,11,1
ogrob101,0,0,701,82,11,8,16,0,0,0,0,0.405738,0.4,1936,1937,0,1,0,1,184,516,548,65,119,86,25,4,4,51,2,1,21,37,0,2,9,0,21,1
ohalg001,0,3,2,0,0,0,0,0,0,0,0,0.528689,0.55,1994,1994,1,0,0,1,12,11,12,1,2,2,0,0,0,1,0,0,0,1,0,0,0,1,0,1
ohlmm001,3,104,29,2,2,0,0,0,2,0,0,0.672131,0.7,2017,2017,0,1,0,1,7,13,13,1,3,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0
ojedm001,116,3292,849,53,9,6,11,0,59,16,0,0.631148,0.5,2003,2006,0,1,0,1,212,486,552,49,109,76,17,1,15,72,2,3,56,103,7,4,3,3,11,1
okril101,0,0,91,20,4,4,2,0,0,0,0,0.446721,0.45,1948,1952,0,1,0,1,42,78,89,3,17,15,1,1,0,3,0,0,9,16,0,1,1,0,3,0
oldib101,54,1711,422,40,8,12,5,36,40,20,0,0.446721,0.5,1953,1963,0,1,0,1,135,236,262,20,56,49,6,0,1,22,0,1,20,22,1,0,6,0,7,1
