retroID,GS,InnOuts,PO,A,E,DP,weight,height,debutYear,finalYear,pos_1B,pos_2B,pos_3B,pos_C,pos_OF,pos_P,pos_SS,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
abreb001,2088,54870,3952,136,73,24,0.590164,0.45,1996,2014,0,0,0,0,1,0,0,1,0,0,1,2425,8480,10081,1453,2470,1549,574,59,288,1363,400,128,1476,1840,115,33,7,85,165,1
abrej003,753,19891,6215,438,51,675,0.733607,0.6,2014,2019,1,0,0,0,0,0,0,0,1,0,1,901,3547,3906,483,1038,627,218,14,179,611,10,5,245,776,50,80,0,34,110,0
abrej101,0,0,9,15,1,1,0.344262,0.25,1942,1942,0,1,0,0,0,0,0,0,1,0,1,9,28,32,4,6,4,1,0,1,3,0,0,4,4,0,0,0,0,1,1
abret001,120,3375,164,327,19,66,0.508197,0.35,2007,2014,0,1,0,0,0,0,0,0,0,0,1,224,579,615,61,147,96,39,6,6,60,2,4,22,116,2,5,1,8,20,1
ackld001,545,14709,1144,805,18,190,0.528689,0.5,2011,2016,0,1,0,0,0,0,0,1,0,0,1,635,2125,2347,261,512,354,94,18,46,216,31,12,194,419,10,5,11,12,25,0
acunr001,261,6900,509,13,8,1,0.42623,0.45,2018,2019,0,0,0,0,1,0,0,0,1,0,1,267,1059,1199,205,302,181,48,6,67,165,53,14,121,311,6,15,0,4,12,1
adaij101,1053,28316,2380,2878,103,618,0.405738,0.45,1958,1970,0,1,0,0,0,0,0,0,1,0,1,1165,4019,4315,378,1022,783,163,19,57,366,29,29,208,499,31,17,41,30,149,0
adaij102,0,0,37,55,5,9,0.319672,0.35,1931,1931,0,0,0,0,0,0,1,0,1,0,1,18,76,79,9,21,17,3,1,0,3,1,0.5,1,8,0,0,2,0,0,1
adamb101,0,0,1339,35,29,8,0.42623,0.45,1939,1947,0,0,0,0,1,0,0,0,1,0,1,576,2003,2292,282,532,374,96,12,50,249,12,6,234,281,0,13,42,0,35,1
adamb103,234,6022,1748,2262,158,371,0.344262,0.35,1946,1959,0,0,1,0,0,0,0,0,1,0,1,1281,4019,4533,591,1082,808,188,49,37,303,67,51,414,447,1,17,78,5,62,1
adamb105,2,54,20,1,0,1,0.508197,0.55,1977,1977,1,0,0,0,0,0,0,0,1,0,1,15,24,24,2,6,3,1,0,2,2,0,0,0,5,0,0,0,0,0,0
adamb106,0,0,0,0,0,0,0.446721,0.5,1910,1919,1,0,0,0,0,0,0,0,0,0,1,78,232,241,14,54,44,7,2,1,17,4,2,6,27,0,0,3,0,0,1
adamc001,64,1837,105,200,8,39,0.446721,0.45,2014,2019,0,1,0,0,0,0,0,0,0,0,1,176,328,367,32,70,55,9,4,2,22,2,4,30,77,1,5,4,0,6,1
adamd001,38,1020,56,76,1,12,0.528689,0.55,2013,2013,1,0,0,0,0,0,0,0,1,0,1,43,140,152,10,27,19,5,1,2,13,0,0,9,43,0,2,1,0,4,0
adamd102,0,0,171,17,1,19,0.446721,0.45,1947,1947,1,0,0,0,0,0,0,0,1,1,0,37,89,93,9,18,11,2,3,2,11,0,0,2,18,0,0,2,0,0,0
adamg101,115,2661,183,6,8,1,0.42623,0.5,1975,1982,0,0,0,0,1,0,0,1,0,0,1,661,1617,1760,152,452,334,79,5,34,225,6,10,111,183,8,4,9,19,47,1
adamh101,0,0,212,7,5,1,0.344262,0.3,1948,1950,0,0,0,0,1,0,0,1,0,1,0,95,337,364,39,88,74,8,6,0,18,4,2,22,24,0,2,3,0,5,0
adaml001,15,625,60,1,2,0,0.590164,0.65,2014,2018,0,0,0,0,1,0,0,0,1,0,1,117,137,154,30,36,23,5,1,7,26,11,0,14,47,0,1,1,1,4,1
adamm002,543,14235,4298,361,39,402,0.692623,0.6,2012,2019,1,0,0,0,0,0,0,1,0,0,1,818,2336,2523,290,609,360,127,6,116,388,4,4,159,616,16,12,0,16,45,1
adamm102,27,763,57,8,1,2,0.42623,0.3,1972,1978,0,0,0,0,1,0,0,0,1,0,1,100,118,152,27,23,15,5,0,3,9,2,1,32,29,0,2,0,0,2,1
adamr001,67,1978,99,254,14,46,0.42623,0.55,1982,1985,0,0,0,0,0,0,1,0,1,0,1,120,247,269,35,53,43,5,1,4,16,3,2,10,37,3,5,7,0,5,1
adamr002,225,6078,331,573,46,113,0.528689,0.45,2004,2009,0,0,0,0,0,0,1,1,0,0,1,286,884,993,125,218,148,46,7,17,113,15,5,85,118,2,5,8,11,14,0
adamr003,24,639,47,62,2,16,0.446721,0.4,2011,2011,0,1,0,0,0,0,0,0,1,0,1,29,89,96,9,25,21,4,0,0,7,0,0,6,25,0,1,0,0,7,0
adams101,0,0,2287,3748,230,597,0.307377,0.1,1922,1934,0,0,0,0,0,0,1,0,1,0,1,1424,5557,6174,844,1588,1282,249,48,9,394,154,96,453,223,0,28,136,0,14,1
adams102,0,0,225,263,34,46,0.336066,0.3,1923,1927,0,1,0,0,0,0,0,1,0,0,1,180,395,447,61,101,80,16,5,0,38,5,10,38,50,0,2,12,0,0,1
adamw002,225,6061,249,580,31,112,0.528689,0.45,2018,2019,0,0,0,0,0,0,1,0,1,0,1,237,819,907,112,215,152,32,1,30,86,10,7,77,248,4,4,4,3,15,0
adcoj101,1299,32684,13678,900,102,1234,0.54918,0.65,1950,1966,1,0,0,0,0,0,0,0,1,0,1,1959,6606,7304,823,1832,1166,295,35,336,1122,20,26,594,1059,55,17,52,35,223,1
addib101,0,0,281,10,4,4,0.405738,0.45,1950,1953,0,0,0,0,1,0,0,1,0,0,1,208,534,576,70,150,124,22,2,2,47,8,6.5,37,47,0,0,5,0,9,1
adduj001,21,682,137,13,1,6,0.508197,0.7,1983,1989,1,0,0,0,0,0,0,1,0,1,0,70,144,150,11,34,24,8,1,1,15,0,1,2,27,0,0,1,3,1,1
adduj002,97,2545,501,18,8,25,0.54918,0.55,2013,2019,0,0,0,0,1,0,0,1,0,1,0,151,396,431,48,92,65,18,4,5,39,7,2,29,111,0,0,3,3,5,1
aderm101,0,0,125,26,14,5,0.459016,0.5,1939,1945,0,1,0,0,0,0,0,1,0,0,1,106,262,281,36,70,57,7,3,3,32,3,2.5,19,29,0,0,0,0,1,1
adkid101,0,0,2,5,1,1,0.364754,0.35,1942,1942,0,0,0,0,0,0,1,0,1,0,1,3,7,9,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
agbab001,289,7109,482,8,13,0,0.610656,0.45,1998,2002,0,0,0,0,1,0,0,0,1,0,1,383,1091,1254,145,299,197,57,6,39,156,16,16,139,246,7,15,1,8,31,1
ageet101,962,26463,2371,53,61,18,0.487705,0.4,1962,1973,0,0,0,0,1,0,0,0,1,0,1,1129,3912,4324,558,999,672,170,27,130,433,167,81,342,918,26,34,21,15,99,1
aggah101,129,3568,1272,103,15,116,0.508197,0.55,1954,1955,1,0,0,0,0,0,0,1,0,1,0,157,517,587,65,135,92,23,9,11,67,8,3,57,67,0,0,7,6,9,0
agual001,268,8181,483,867,54,148,0.397541,0.3,1980,1989,0,0,0,0,0,0,1,0,1,0,1,568,1104,1244,142,260,170,43,10,37,109,7,5,94,220,12,20,14,12,27,1
aguic001,39,1323,103,5,2,0,0.508197,0.4,2004,2008,0,0,0,0,1,0,0,0,1,0,1,149,230,248,26,53,35,13,2,3,16,2,2,16,61,1,0,2,0,3,1
aguij001,252,6835,1969,182,16,213,0.713115,0.6,2014,2019,1,0,0,0,0,0,0,0,1,0,1,448,1143,1307,161,293,175,53,2,63,215,0,0,130,339,4,13,0,21,40,1
ahmen001,545,14800,744,1670,52,364,0.487705,0.55,2014,2019,0,0,0,0,0,0,1,0,1,0,1,613,2014,2209,248,475,299,102,19,55,231,25,18,149,410,11,12,11,23,51,1
aikew001,532,13403,4425,300,42,430,0.590164,0.6,1977,1985,1,0,0,0,0,0,0,1,0,0,1,774,2492,2856,301,675,438,125,2,110,415,3,6,319,444,42,18,0,27,87,0
aingd101,188,4973,355,419,24,90,0.405738,0.65,1979,1981,0,1,0,0,0,0,0,0,1,0,1,211,665,721,57,146,121,19,4,2,37,12,5,37,128,2,4,12,3,16,0
akerb101,0,0,235,329,41,68,0.418033,0.4,1929,1932,0,0,0,0,0,0,1,0,1,0,1,174,475,553,64,124,87,17,9,11,69,7,6,63,64,0,1,14,0,0,1
albio001,365,9792,613,913,17,245,0.364754,0.25,2017,2019,0,1,0,0,0,0,0,0,0,0,1,375,1496,1630,241,418,254,92,18,54,186,37,8,111,264,6,12,2,9,14,1
albrj101,0,0,48,85,8,15,0.405738,0.3,1947,1947,0,0,0,0,0,0,1,0,1,0,1,41,99,112,9,23,17,4,0,2,5,1,0.5,10,11,0,0,3,0,2,1
alcaa001,91,2684,203,123,10,16,0.385246,0.35,2014,2017,0,1,0,0,0,0,0,0,0,0,1,167,428,459,51,81,52,15,3,11,39,14,8,24,150,0,2,3,2,6,1
alcai001,18,527,62,3,4,3,0.42623,0.55,2000,2002,1,0,0,0,0,0,0,0,1,0,1,51,115,121,15,31,22,3,0,6,15,1,1,6,26,0,0,0,0,3,1
alcal101,96,2594,209,240,10,44,0.364754,0.3,1967,1970,0,1,0,0,0,0,0,0,1,0,1,115,365,390,30,70,55,9,2,4,29,2,2,21,58,2,0,2,2,7,1
aldrc001,4,123,7,0,0,0,0.54918,0.45,2001,2010,0,0,0,0,1,0,0,1,0,0,1,13,18,18,1,1,0,0,1,0,1,0,0,0,9,0,0,0,0,0,1
alenc101,0,0,137,153,12,17,0.569672,0.5,1941,1944,0,0,1,0,0,0,0,0,1,0,1,118,320,356,34,67,51,11,3,2,34,3,1.5,31,35,0,1,4,0,7,1
alexd101,0,0,5769,328,71,502,0.54918,0.6,1929,1933,1,0,0,0,0,0,0,0,1,0,1,662,2450,2736,369,811,556,164,30,61,459,20,28,248,197,0,6,32,0,0,0
alexh101,0,0,2,0,1,0,0.467213,0.45,1937,1937,0,0,0,0,1,0,0,0,1,0,1,7,11,11,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0
alexm101,37,1260,88,29,4,4,0.377049,0.4,1973,1981,0,0,0,0,1,0,0,0,0,0,1,374,168,195,111,36,30,4,2,0,4,103,42,18,26,1,1,8,0,2,1
alfaj001,2,50,2,3,0,1,0.446721,0.35,2004,2004,0,0,0,0,0,0,1,0,1,0,1,7,11,12,1,2,2,0,0,0,0,0,0,0,5,0,0,1,0,1,1
alfoa002,13,423,35,0,1,1,0.569672,0.5,2017,2019,0,0,0,0,1,0,0,0,1,0,1,33,55,59,6,8,6,1,0,1,2,3,0,3,23,0,1,0,0,0,0
alfoe001,1367,36251,1644,3022,106,447,0.54918,0.4,1995,2006,0,1,0,0,0,0,0,0,1,0,1,1506,5385,6108,777,1532,1086,282,18,146,744,53,17,596,617,22,41,31,55,110,1
alicl001,971,26342,2020,2848,142,632,0.364754,0.3,1988,2002,0,1,0,0,0,0,0,0,0,0,1,1341,3971,4613,551,1031,742,189,53,47,422,81,50,500,624,26,48,49,45,74,1
allea001,0,15,5,1,0,3,0.590164,0.55,2019,2019,1,0,0,0,0,0,0,1,0,0,1,34,65,71,4,14,10,4,0,0,3,0,0,6,21,3,0,0,0,2,1
alleb001,99,2577,741,37,6,59,0.631148,0.55,2009,2012,1,0,0,0,0,0,0,1,0,0,1,116,344,389,44,70,37,19,2,12,41,3,0,42,137,6,1,0,2,4,1
alleb104,0,0,8,0,1,0,0.42623,0.35,1919,1919,0,0,0,0,1,0,0,0,1,0,1,9,22,26,3,3,2,1,0,0,0,0,0,3,7,0,1,0,0,0,0
alleb105,910,24078,2031,2347,100,558,0.405738,0.45,1962,1973,0,1,0,0,0,0,0,1,0,0,1,1139,3404,3823,357,815,581,140,21,73,352,13,16,370,424,52,8,24,17,60,1
allec001,189,4943,382,15,9,5,0.487705,0.5,1999,2005,0,0,0,0,1,0,0,0,1,0,1,267,851,928,102,229,163,44,8,14,84,15,13,63,173,2,4,5,5,23,1
alled001,5,198,49,1,0,5,0.569672,0.65,2000,2000,1,0,0,0,0,0,0,0,1,0,1,27,28,32,5,7,3,2,0,2,2,0,0,4,12,0,0,0,0,1,1
alled101,1690,43662,7658,1711,245,756,0.454918,0.4,1963,1977,1,0,0,0,0,0,0,0,1,0,1,1749,6332,7314,1099,1848,1098,320,79,351,1119,133,52,894,1556,138,16,19,53,164,1
allee101,0,0,2746,103,56,23,0.42623,0.5,1926,1938,0,0,0,0,1,0,0,0,1,0,1,1281,4418,4765,623,1325,978,255,45,47,501,84,44.5,223,310,0,14,110,0,38,1
alleg002,132,4017,335,9,3,1,0.446721,0.45,2017,2019,0,0,0,0,1,0,0,0,0,0,1,205,531,586,73,129,95,21,6,7,53,30,6,27,119,2,17,8,3,8,0
alleg101,1038,28083,1879,3641,166,805,0.344262,0.35,1963,1973,0,0,0,0,0,0,1,0,1,0,1,1195,3927,4332,442,999,760,140,44,55,342,63,30,300,622,62,27,56,22,95,1
alleh101,0,0,2,1,0,0,0.454918,0.45,1919,1919,0,0,0,0,1,0,0,1,0,0,1,4,7,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
alleh104,189,5852,460,95,25,20,0.467213,0.45,1966,1973,0,0,0,0,1,0,0,0,1,0,1,389,881,938,104,212,170,27,9,6,57,15,9,49,128,5,2,2,4,30,0
allej001,253,7102,596,14,11,5,0.418033,0.45,1996,1999,0,0,0,0,1,0,0,0,1,0,1,342,1031,1190,155,268,196,49,8,15,114,42,20,104,228,1,24,21,10,9,1
allej101,77,2039,55,155,9,16,0.528689,0.45,1983,1983,0,0,1,0,0,0,0,0,1,0,1,86,273,313,23,61,47,10,0,4,21,6,5,33,52,0,1,6,0,8,0
allek101,14,414,27,42,2,8,0.405738,0.4,1980,1981,0,1,0,0,0,0,0,0,1,0,1,42,54,65,10,12,9,3,0,0,3,12,4,8,5,2,1,2,0,1,0
allel001,1,48,4,0,0,0,0.540984,0.55,2002,2003,0,0,0,0,1,0,0,1,0,0,1,8,9,11,2,1,0,1,0,0,0,0,0,2,3,0,0,0,0,1,1
aller001,2,57,7,0,0,0,0.446721,0.5,1983,1988,0,0,0,0,1,0,0,0,1,0,1,31,50,54,8,11,9,2,0,0,3,1,0,2,11,0,1,1,0,0,0
aller101,2,78,29,1,1,1,0.528689,0.6,1972,1972,1,0,0,0,0,0,0,0,0,0,1,7,11,14,2,1,0,0,0,1,1,0,0,3,5,0,0,0,0,1,1
allib103,1376,36211,3546,162,84,108,0.528689,0.6,1958,1970,0,0,0,0,1,0,0,0,1,0,1,1541,5032,5921,811,1281,756,216,53,256,796,84,50,795,1033,30,34,25,35,115,0
allig101,110,2855,211,295,26,59,0.467213,0.5,1954,1954,0,0,1,0,0,0,0,0,1,0,1,121,418,482,38,83,66,8,6,3,30,1,1,56,84,0,2,3,3,3,1
allrb001,46,1186,121,2,4,1,0.467213,0.45,1989,1991,0,0,0,0,1,0,0,1,0,1,0,65,165,200,19,38,27,7,0,4,15,2,2,29,48,2,1,3,2,1,0
almam101,0,0,1514,72,49,16,0.385246,0.45,1933,1939,0,0,0,0,1,0,0,1,0,1,0,646,2483,2737,363,706,557,107,27,15,197,56,28,214,150,0,5,35,0,4,1
almoa001,255,6948,537,20,15,5,0.54918,0.3,2013,2019,0,0,0,0,1,0,0,0,0,0,1,369,1027,1138,141,245,156,58,13,18,97,24,7,89,265,1,3,9,10,26,1
almoa002,261,7707,702,11,7,2,0.467213,0.55,2016,2019,0,0,0,0,1,0,0,0,1,0,1,461,1194,1282,156,327,233,62,4,28,133,4,4,64,218,6,4,10,10,33,1
almob001,845,23398,1834,2265,173,435,0.42623,0.6,1974,1988,0,0,0,0,0,0,1,0,1,0,1,1236,3330,3659,390,846,647,138,25,36,296,128,60,250,636,24,6,44,29,53,1
almoe001,35,928,58,70,13,14,0.692623,0.55,2001,2011,0,0,0,0,0,0,1,0,1,0,1,55,133,144,18,31,22,7,0,2,14,3,0,8,29,0,1,2,0,5,1
almoz001,35,950,75,1,0,0,0.528689,0.45,2013,2014,0,0,0,0,1,0,0,0,0,0,1,47,142,149,11,30,24,4,0,2,12,4,1,6,33,0,0,0,1,3,0
alomr001,2288,59751,4463,6536,183,1411,0.442623,0.45,1988,2004,0,1,0,0,0,0,0,0,0,0,1,2379,9073,10400,1508,2724,1930,504,80,210,1134,474,114,1032,1140,62,50,148,97,206,1
aloms101,1225,32911,2889,3463,158,817,0.262295,0.3,1964,1978,0,1,0,0,0,0,0,0,0,0,1,1481,4760,5160,558,1168,1010,126,19,13,282,227,80,302,482,17,3,77,18,58,1
alonp001,152,3984,1078,112,12,108,0.692623,0.6,2019,2019,1,0,0,0,0,0,0,0,1,0,1,161,597,693,103,155,70,30,2,53,120,1,0,72,183,6,21,0,3,13,1
alony001,830,22074,6791,470,50,593,0.631148,0.5,2010,2019,1,0,0,0,0,0,0,1,0,0,1,1072,3362,3773,391,872,589,181,2,100,426,22,8,366,648,29,16,1,28,94,1
alouf101,1742,47576,6537,322,96,330,0.487705,0.45,1958,1974,0,0,0,0,1,0,0,0,1,0,1,2082,7339,7908,985,2101,1487,359,49,206,852,107,67,423,706,67,57,33,56,135,1
alouj101,929,25099,1693,63,58,16,0.467213,0.55,1963,1979,0,0,0,0,1,0,0,0,1,0,1,1380,4345,4577,448,1216,988,170,26,32,377,31,46,138,267,32,30,44,20,143,1
aloum001,1812,46996,3114,95,65,20,0.446721,0.6,1990,2008,0,0,0,0,1,0,0,0,1,0,1,1942,7037,7913,1109,2134,1342,421,39,332,1287,106,37,737,894,91,48,9,82,195,1
alstd101,65,1986,172,4,7,2,0.42623,0.45,1977,1980,0,0,0,0,1,0,0,1,0,0,1,189,332,374,48,79,65,7,4,3,35,20,21,28,44,3,2,7,5,4,0
alstt101,65,1845,605,75,9,63,0.54918,0.7,1954,1957,1,0,0,0,0,0,0,1,0,0,1,91,271,299,30,66,45,15,2,4,36,3,5,25,46,0,2,0,1,6,1
alstw101,0,0,1,0,1,0,0.487705,0.55,1936,1936,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
altmg101,762,20328,1792,77,36,45,0.508197,0.65,1959,1967,0,0,0,0,1,0,0,1,0,0,1,991,3091,3419,409,832,565,132,34,101,403,52,22,268,572,38,20,19,21,43,1
altoj101,57,1839,436,21,5,30,0.446721,0.45,1955,1961,1,0,0,0,0,0,0,1,0,1,0,166,257,290,27,54,38,8,3,5,28,3,3,23,42,0,2,5,3,3,0
altuj001,1191,31196,1819,3047,73,679,0.364754,0.15,2011,2019,0,1,0,0,0,0,0,0,1,0,1,1243,4985,5458,734,1568,1113,299,28,128,538,254,74,360,623,38,49,25,39,144,1
alusg101,141,3868,338,14,5,11,0.405738,0.6,1958,1964,0,0,0,0,1,0,0,0,1,0,1,298,652,737,75,167,111,31,2,23,93,1,2,73,103,3,4,4,4,16,0
alvad002,11,273,17,1,0,1,0.42623,0.55,2015,2016,0,0,0,0,1,0,0,0,1,0,1,14,32,35,3,8,5,2,0,1,1,0,0,3,8,0,0,0,0,0,0
alvag001,55,1512,41,95,19,6,0.446721,0.5,1998,2000,0,0,1,0,0,0,0,0,1,0,1,92,266,294,22,59,37,15,0,7,33,1,4,24,76,1,2,0,2,2,1
alval101,310,8628,538,967,60,169,0.352459,0.3,1968,1977,0,0,0,0,0,0,1,0,1,0,1,463,1160,1231,116,248,196,43,4,5,84,11,10,49,160,10,3,14,5,27,1
alvao101,61,1638,126,183,10,38,0.364754,0.35,1958,1959,0,1,0,0,0,0,0,0,1,0,1,95,198,219,20,42,39,3,0,0,5,1,1,16,27,0,0,5,0,1,0
alvao102,9,243,13,1,0,1,0.364754,0.45,1973,1976,0,0,0,0,1,0,0,0,1,0,1,25,51,51,4,8,4,2,0,2,8,0,0,0,5,0,0,0,0,0,1
alvap001,679,17547,1352,1285,138,213,0.713115,0.6,2010,2018,0,0,1,0,0,0,0,1,0,0,1,910,2980,3321,365,704,405,131,6,162,472,15,3,314,952,31,11,1,15,71,1
alvar101,8,252,90,4,2,9,0.438525,0.4,1960,1962,1,0,0,0,0,0,0,0,1,0,1,17,37,38,2,7,7,0,0,0,2,0,0,1,13,0,0,0,0,0,1
alvat002,16,440,27,0,0,0,0.508197,0.5,2002,2004,0,0,0,0,1,0,0,0,1,0,1,38,64,75,11,16,10,4,0,2,10,1,0,7,12,0,1,1,2,1,1
alvay001,9,198,9,1,1,0,0.610656,0.7,2019,2019,0,0,0,0,1,0,0,1,0,0,1,87,313,369,58,98,45,26,0,27,78,0,0,52,94,4,2,0,2,9,0
alvim101,944,25454,962,1693,123,144,0.446721,0.4,1962,1970,0,0,1,0,0,0,0,0,1,0,1,1013,3629,3984,421,895,620,142,22,111,373,43,46,262,662,25,35,36,22,70,0
alyeb101,219,5106,348,17,10,1,0.569672,0.6,1965,1972,0,0,0,0,1,0,0,0,1,0,1,371,866,982,100,214,141,33,2,38,148,5,7,100,210,7,6,0,10,36,1
amalj101,408,11220,868,1149,71,222,0.405738,0.4,1954,1967,0,1,0,0,0,0,0,0,1,0,1,643,1715,1937,248,418,323,67,19,9,123,19,26,185,224,9,12,17,8,37,1
amarr001,416,11744,962,552,34,131,0.405738,0.45,1991,2000,1,0,0,0,0,0,0,0,1,0,1,727,1788,2022,305,493,390,82,10,11,159,112,39,176,277,1,16,29,13,37,0
amarr002,160,5380,466,17,6,4,0.385246,0.35,1991,1998,0,0,0,0,1,0,0,0,0,0,1,485,927,1050,99,218,150,43,9,16,100,15,10,88,128,2,16,11,8,22,1
amarr101,631,17959,1532,1864,108,421,0.385246,0.4,1958,1969,0,0,0,0,0,0,1,0,1,0,1,940,2155,2451,211,505,409,75,13,8,156,11,14,227,280,24,10,47,12,53,1
amblw101,0,0,478,683,62,126,0.364754,0.25,1937,1939,0,1,0,0,0,0,0,0,1,0,1,271,782,890,60,175,134,39,2,0,73,4,1,83,64,0,0,25,0,10,0
ambrc001,43,1204,102,2,2,0,0.467213,0.5,2005,2008,0,0,0,0,1,0,0,0,1,0,1,80,189,218,28,44,31,9,0,4,10,4,2,23,48,1,2,3,1,5,1
amele001,9,353,36,0,0,0,0.42623,0.4,1984,1986,0,0,0,0,1,0,0,1,0,1,0,42,57,60,7,11,11,0,0,0,4,3,2,2,8,0,0,1,0,2,1
ameza001,327,9672,838,430,26,71,0.364754,0.4,2002,2011,0,0,0,0,0,0,1,0,0,0,1,584,1408,1570,173,348,270,47,19,12,110,49,26,112,223,7,14,28,8,21,1
amors101,316,8621,635,22,16,2,0.385246,0.2,1952,1960,0,0,0,0,1,0,0,1,0,1,0,517,1311,1558,215,334,213,55,23,43,180,18,15,211,189,16,11,18,7,23,1
andea101,0,0,118,152,15,38,0.393443,0.4,1948,1949,0,1,0,0,0,0,0,0,1,0,1,122,223,248,23,41,30,8,1,2,17,0,1,22,36,0,0,3,0,11,0
andea102,0,0,173,264,30,46,0.364754,0.4,1941,1946,0,0,0,0,0,0,1,0,1,0,1,126,390,429,56,93,78,11,3,1,17,6,3,33,49,0,1,5,0,7,1
andeb001,1585,42504,3713,60,42,16,0.385246,0.5,1988,2002,0,0,0,0,1,0,0,1,0,1,0,1834,6499,7737,1062,1661,1046,338,67,210,761,315,100,960,1190,59,154,74,50,65,0
andeb003,209,6257,562,7,5,3,0.590164,0.55,2005,2009,0,0,0,0,1,0,0,0,1,0,1,355,799,883,108,181,111,47,1,22,80,13,14,65,208,2,8,7,4,15,0
andeb006,293,7801,373,261,19,25,0.446721,0.6,2017,2019,0,0,1,0,0,0,0,0,1,0,1,307,1133,1285,155,303,192,74,6,31,139,7,5,116,271,3,30,0,6,34,1
anded001,510,14968,894,1556,73,274,0.446721,0.55,1983,1992,0,0,1,0,0,0,0,0,1,0,1,873,2026,2287,244,490,386,73,12,19,143,49,30,206,331,17,5,37,13,49,1
anded002,1,28,1,0,0,0,0.487705,0.55,2006,2006,0,0,0,0,1,0,0,1,0,0,1,9,9,10,3,1,1,0,0,0,0,0,0,1,4,0,0,0,0,0,1
anded101,71,2189,138,220,25,37,0.364754,0.4,1971,1974,0,0,0,0,0,0,1,0,1,0,1,149,306,342,33,62,53,6,2,1,14,2,2,32,70,2,2,2,0,6,1
andeg001,1885,49549,4057,109,48,18,0.467213,0.6,1994,2010,0,0,0,0,1,0,0,1,0,1,0,2228,8640,9177,1084,2529,1684,522,36,287,1365,80,47,429,1224,104,8,13,87,197,1
andeh101,409,10697,1251,69,24,54,0.528689,0.6,1957,1961,0,0,0,0,1,0,0,1,0,0,1,484,1586,1785,199,419,261,82,16,60,242,3,6,159,291,32,16,9,15,29,1
andeh102,0,0,21,1,0,1,0.344262,0.4,1932,1932,0,0,0,0,1,0,0,0,1,0,1,9,32,33,4,8,8,0,0,0,2,0,1,0,1,0,0,1,0,0,0
andej001,278,7838,496,902,68,181,0.385246,0.45,1978,1984,0,0,0,0,0,0,1,0,1,0,1,419,970,1091,107,211,161,35,2,13,86,9,13,81,130,2,5,29,6,23,0
andej004,115,3293,268,7,6,1,0.487705,0.55,2007,2009,0,0,0,0,1,0,0,1,0,0,1,179,486,519,73,132,106,17,5,4,47,36,7,26,82,2,4,2,1,8,1
andek001,117,3055,177,362,19,82,0.42623,0.5,1989,1990,0,1,0,0,0,0,0,0,1,0,1,135,366,409,43,95,80,12,2,1,22,1,4,30,61,1,2,10,1,8,0
