,retroID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
14359,wardt002,40,135,14,24,3,0,6,15,2,0.0,9,45,0.0,3,0,0.0,0.0,0
14360,warej001,18,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14361,warmc101,26,43,4,9,2,1,0,0,0,0.0,3,11,0.0,1,2,0.0,0.0,0
14362,warnh101,6,7,1,2,2,0,0,0,0,0.0,0,3,0.0,0,0,0.0,0.0,0
14363,warnh102,20,46,4,9,1,0,0,5,1,1.0,5,2,0.0,1,0,0.0,0.0,1
14364,warnj101,478,1546,199,387,52,20,1,120,31,14.5,142,137,0.0,13,54,0.0,13.0,1
14365,warnj102,45,123,22,26,4,1,7,16,0,0.0,9,55,0.0,0,0,1.0,2.0,0
14366,warnj104,33,5,0,1,0,0,0,0,0,0.0,0,2,0.0,0,0,0.0,0.0,1
14367,warnl101,459,962,87,215,26,2,4,97,1,0.5,52,148,0.0,4,62,0.0,31.0,1
14368,warra001,298,6,0,0,0,0,0,0,0,0.0,0,4,0.0,0,1,0.0,0.0,1
14369,warrb102,377,989,97,217,26,7,33,104,1,0.5,129,177,0.0,5,6,0.0,34.0,1
14370,warrm001,52,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14371,warrt101,41,43,1,11,0,0,0,2,0,0.0,2,7,0.0,0,0,0.0,2.0,1
14372,warsr101,1205,4088,431,935,133,36,11,332,42,28.0,405,414,0.0,11,107,0.0,47.0,1
14373,wartd101,83,89,3,7,0,0,0,1,0,0.0,2,41,0.0,0,6,0.0,0.0,1
14374,warwb101,23,56,8,17,1,2,1,8,0,1.0,5,7,0.0,0,2,0.0,0.0,1
14375,warwc101,530,1462,168,363,51,10,31,149,13,6.0,127,241,6.0,2,14,11.0,32.0,1
14376,wasdj001,328,19,2,3,1,0,0,1,0,0.0,1,6,0.0,0,1,0.0,0.0,1
14377,wasdj101,888,2866,339,782,109,34,29,341,29,14.0,243,165,0.0,13,39,0.0,53.0,1
14378,wasel101,2,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14379,washc001,1912,6787,926,1884,334,69,164,824,312,134.0,468,1266,77.0,36,25,51.0,140.0,1
14380,washd001,3,6,0,0,0,0,0,0,0,0.0,0,5,0.0,0,0,0.0,0.0,0
14381,washg101,8,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14382,washg102,128,388,46,104,24,3,9,52,1,0.0,11,22,0.0,3,3,0.0,0.0,0
14383,washg103,1,1,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0
14384,washh101,105,0,33,0,0,0,0,0,31,17.0,0,0,0.0,0,0,0.0,0.0,0
14385,washj001,314,41,4,9,0,0,0,4,0,0.0,5,13,0.0,0,7,0.0,0.0,0
14386,washl101,28,21,5,5,0,0,0,2,2,1.0,4,1,0.0,0,0,0.0,0.0,0
14387,washr001,564,1586,190,414,65,22,20,146,28,18.0,65,266,1.0,9,16,13.0,31.0,1
14388,washr002,14,19,2,3,2,0,0,3,0,0.0,3,6,0.0,0,0,0.0,1.0,1
14389,washr101,239,361,22,38,6,2,1,24,0,0.0,20,201,0.0,1,35,3.0,6.0,1
14390,washu001,907,2797,358,703,103,36,27,255,132,53.0,261,409,6.0,1,44,21.0,33.0,1
14391,wasim001,50,90,17,22,3,0,1,4,2,0.0,8,16,0.0,0,3,0.0,3.0,1
14392,waslg101,157,88,1,4,1,0,0,3,0,0.0,3,50,0.0,0,5,0.0,2.0,1
14393,wasse001,57,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14394,waszb001,24,45,6,10,1,0,0,4,0,0.0,4,10,0.0,1,0,1.0,1.0,0
14395,watec001,16,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14396,watef101,25,21,1,1,0,1,0,3,0,0.0,0,5,0.0,0,0,0.0,0.0,1
14397,wates101,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14398,wathd001,3,5,1,3,1,0,0,1,0,0.0,0,1,0.0,1,0,0.0,0.0,0
14399,wathj001,860,2505,305,656,90,25,21,261,105,36.0,199,265,10.0,14,28,18.0,89.0,0
14400,watkb102,5,2,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0.0,1
14401,watkd101,69,148,17,26,2,1,4,12,2,3.0,22,53,0.0,2,2,0.0,2.0,1
14402,watkg101,894,3207,490,925,192,42,73,420,61,30.5,246,382,0.0,44,29,0.0,19.0,1
14403,watkl001,58,103,12,24,4,0,1,6,1,0.0,4,30,1.0,1,2,0.0,0.0,1
14404,watkp001,116,195,15,46,10,1,2,15,2,3.0,10,36,0.0,1,4,4.0,5.0,1
14405,watks001,27,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0
14406,watks002,11,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14407,watkt001,9,28,2,10,0,0,0,0,1,0.0,4,4,0.0,0,0,0.0,1.0,0
14408,watln101,21,44,4,7,1,0,0,3,0,1.0,3,8,0.0,0,0,0.0,1.0,0
14409,watsa001,209,175,13,45,13,1,0,19,0,0.0,9,22,0.0,0,13,0.0,8.0,1
14410,watsb001,1832,6185,802,1826,307,41,184,989,27,28.0,653,796,98.0,48,11,65.0,173.0,1
14411,watsb002,40,86,10,17,2,1,1,7,2,4.0,6,12,1.0,0,4,0.0,0.0,1
14412,watsj101,4,12,1,3,2,0,0,3,0,0.0,1,2,0.0,0,1,0.0,0.0,0
14413,watsm001,11,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,1
14414,watsm002,46,101,6,19,7,0,1,11,0,0.0,6,14,0.0,0,1,0.0,2.0,1
14415,watsm102,8,16,0,1,0,0,0,0,0,0.0,0,4,0.0,0,0,0.0,0.0,1
