retroID,weight,height,debutYear,finalYear,pos_1B,pos_2B,pos_3B,pos_C,pos_OF,pos_P,pos_SS,bats_L,bats_R,throws_L,throws_R,G,AB,PA,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,NL
karnn001,0.610656,0.6,2013,2019,0,0,0,0,0,1,0,0,1,0,1,67,8,11,1,1,0,0,0,1,1,0,0,0,4,0,0,3,0,1,1
karom101,0.385246,0.35,1927,1927,0,0,1,0,0,0,0,0,1,0,1,6,10,11,0,2,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0
karph101,0.42623,0.3,1946,1946,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karpr001,0.577869,0.65,1995,1997,0,0,0,0,0,1,0,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
karrb101,0.405738,0.45,1920,1927,0,0,0,0,0,1,0,1,0,0,1,265,392,433,43,96,74,20,0,2,47,3,0,26,58,0,0,15,0,0,0
karre001,0.528689,0.65,1991,2004,1,0,0,0,0,0,0,0,1,0,1,1755,6441,7100,797,1724,1105,324,11,284,1027,59,30,552,1167,21,31,0,76,181,1
karsj001,0.446721,0.6,2006,2012,0,0,0,0,0,1,0,0,1,0,1,138,145,169,10,13,12,1,0,0,4,0,0,8,79,0,1,15,0,0,1
karss001,0.54918,0.6,1993,2006,0,0,0,0,0,1,0,0,1,0,1,358,4,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
kasht001,0.364754,0.4,1997,1997,0,0,0,0,0,1,0,1,0,1,0,35,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
kaske101,0.42623,0.45,1957,1966,0,0,1,0,0,0,0,0,1,0,1,1077,3546,3879,411,935,754,146,13,22,261,31,31,265,353,33,20,27,21,77,1
katam001,0.446721,0.5,2003,2009,0,1,0,0,0,0,0,0,0,0,1,278,695,762,89,166,108,37,9,12,63,9,4,48,126,2,4,10,5,11,1
kattr101,0.467213,0.55,1952,1959,0,0,0,1,0,0,0,0,1,0,1,417,1071,1177,92,248,183,29,4,32,120,2,2,74,164,7,6,14,12,34,1
katzb101,0.467213,0.4,1944,1944,0,0,0,0,0,1,0,0,1,0,1,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kaufb101,0.331967,0.25,1912,1920,0,0,0,0,1,0,0,1,0,1,0,190,648,732,104,179,117,39,10,13,93,24,17.5,64,59,0,5,15,0,0,1
kaufc001,0.405738,0.55,1982,1984,0,0,0,0,0,1,0,0,1,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kauft101,0.364754,0.4,1921,1935,0,0,0,0,0,1,0,0,1,0,1,260,414,456,62,91,62,19,1,9,57,4,2,28,82,0,0,14,0,0,1
kawak001,0.508197,0.4,2009,2010,0,0,0,0,0,1,0,0,1,0,1,52,65,80,2,7,6,1,0,0,1,0,0,6,22,0,0,9,0,1,1
kawam001,0.405738,0.4,2012,2016,0,1,0,0,0,0,0,1,0,0,1,276,633,738,80,150,125,18,6,1,51,12,4,70,119,0,9,22,4,12,1
kay-a001,0.581967,0.45,2019,2019,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kayej001,0.487705,0.65,2002,2002,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kazae101,0.405738,0.45,1948,1952,0,0,1,0,0,0,0,0,1,0,1,218,605,668,69,165,126,22,6,11,71,0,0,52,45,0,2,9,0,18,1
kazat101,0.405738,0.5,1953,1958,0,0,0,0,0,0,1,0,1,0,1,417,1329,1443,118,288,216,49,9,14,116,4,8,90,163,9,8,10,6,35,1
kazms001,0.446721,0.45,2004,2016,0,0,0,0,0,1,0,1,0,1,0,299,69,77,4,8,8,0,0,0,4,0,0,1,34,0,0,7,0,2,1
kazms002,0.42623,0.3,2008,2008,0,1,0,0,0,0,0,0,1,0,1,19,39,46,2,8,7,1,0,0,2,0,0,5,14,0,0,1,1,0,1
keagg001,0.446721,0.5,1996,1998,0,0,0,0,0,1,0,0,1,0,1,46,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
keals101,0.446721,0.45,1968,1973,0,0,0,0,0,1,0,0,1,0,1,139,26,27,1,3,2,0,0,1,3,0,0,0,15,0,0,1,0,2,0
keara001,0.672131,0.6,2002,2013,0,0,0,0,1,0,0,0,1,0,1,1125,3606,4179,522,914,593,187,13,121,494,33,21,475,898,19,75,3,20,115,1
kearb001,0.467213,0.45,1979,1987,0,0,0,1,0,0,0,0,1,0,1,479,1356,1474,131,316,220,66,3,27,133,9,12,67,235,3,12,30,9,32,1
keare101,0.487705,0.5,1942,1942,0,0,0,1,0,0,0,0,1,0,1,11,26,30,2,5,5,0,0,0,2,1,0,3,1,0,0,1,0,1,0
keart102,0.42623,0.4,1920,1925,1,0,0,0,0,0,0,0,1,0,1,8,19,20,0,5,4,0,1,0,1,0,0,1,1,0,0,0,0,0,1
keatc101,0.32377,0.3,1913,1926,0,1,0,0,0,0,0,0,1,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
keatg101,0.508197,0.55,1981,1981,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keatr101,0.446721,0.4,1912,1919,0,0,0,0,0,1,0,0,1,0,1,24,46,50,4,7,5,1,0,1,3,0,0,1,14,0,0,3,0,0,1
keckc101,0.385246,0.4,1922,1923,0,0,0,0,0,1,0,0,1,0,1,62,61,70,2,8,7,1,0,0,2,0,1,4,29,0,1,4,0,0,1
keedp001,0.528689,0.65,1985,1989,0,0,1,0,0,0,0,0,1,0,1,29,59,64,10,12,5,4,0,3,4,1,1,4,19,0,0,1,0,0,0
keefd101,0.364754,0.3,1917,1922,0,0,0,0,0,1,0,1,0,0,1,95,106,111,9,22,20,1,1,0,3,1,1,4,17,0,0,1,0,0,0
keegb101,0.536885,0.55,1953,1958,0,0,0,0,0,1,0,0,1,0,1,136,196,236,14,32,29,2,1,0,19,0,0,14,31,0,1,20,5,8,0
keege101,0.364754,0.6,1959,1962,0,0,0,0,0,1,0,0,1,0,1,14,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
keelb101,0.405738,0.45,1944,1945,0,0,0,1,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
keenj101,0.385246,0.45,1982,1983,0,0,0,0,0,1,0,1,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
keenj102,0.508197,0.65,1976,1976,0,0,0,0,0,1,0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
keenj103,0.32377,0.2,1920,1921,0,0,0,0,0,1,0,1,0,1,0,16,10,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
keenv101,0.364754,0.3,1918,1927,0,0,0,0,0,1,0,0,1,0,1,164,229,254,18,34,30,4,0,0,12,1,1,8,69,0,0,17,0,0,1
keesj101,0.385246,0.45,1925,1930,1,0,0,0,0,0,0,0,1,0,1,16,17,18,3,5,4,1,0,0,3,0,0,1,4,0,0,0,0,0,0
keetr101,0.467213,0.55,1980,1981,0,0,0,0,0,1,0,0,1,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kehnc101,0.377049,0.4,1942,1942,0,0,0,0,0,1,0,0,1,0,1,3,2,3,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1
keisr001,0.508197,0.6,2000,2007,0,0,0,0,0,1,0,1,0,1,0,56,25,25,4,5,2,2,0,1,2,0,0,0,7,0,0,0,0,0,1
kekim101,0.491803,0.5,1965,1977,0,0,0,0,0,1,0,0,1,1,0,238,209,236,11,25,23,1,1,0,12,0,0,5,51,0,0,22,0,0,1
kelak001,0.54918,0.5,2015,2019,0,0,0,0,0,1,0,0,1,0,1,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kella101,0.508197,0.6,1923,1924,0,0,0,0,0,1,0,0,1,0,1,6,3,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
